# Step PotentialEnergy(eV) KineticEnergy(eV) TotalEnergy(eV)
1080 -5640.0158155837 914803.387036577 909163.371220993
1090 -4983.31818662559 914639.924405258 909656.606218633
1100 -5916.82406093801 915093.836173706 909177.012112768
1110 -5703.24916160801 911072.233839623 905368.984678015
1120 -4951.04430182639 905967.907269022 901016.862967196
1130 -5416.12038997121 906059.807009873 900643.686619902
1140 -7162.07196658323 905711.936499821 898549.864533238
1150 -6771.81436951071 906476.619062412 899704.804692901
1160 -6366.1204747907 906168.128832496 899802.008357706
1170 -5940.64894309096 913254.632683321 907313.98374023
1180 -5988.72269200306 911667.756857217 905679.034165214
1190 -5526.28623526504 908887.18683237 903360.900597104
1200 -5163.21520138568 908132.724879055 902969.50967767
1210 -6153.05583347096 911718.479274601 905565.42344113
1220 -5789.59957272978 916338.616216996 910549.016644266
1230 -5782.04096266778 913199.91225995 907417.871297282
1240 -5274.86613256603 919298.26041229 914023.394279724
1250 -5424.25871382473 920046.89707336 914622.638359535
1260 -6860.67523252861 921081.659205992 914220.983973463
1270 -5851.44223321299 916612.161004249 910760.718771036
1280 -5411.48643095752 912429.886884484 907018.400453526
1290 -6269.43162461978 910586.005028117 904316.573403497
1300 -5800.31245420075 914711.586421659 908911.273967459
1310 -5989.93428871085 912286.168519705 906296.234230995
1320 -6486.51992066735 913896.989168515 907410.469247848
1330 -5646.6376704781 909078.761378072 903432.123707594
1340 -6668.92065546812 910708.47225302 904039.551597552
1350 -4900.15647668549 912206.648865829 907306.492389144
1360 -6645.29266378468 914639.760016207 907994.467352422
1370 -5876.58565941916 915339.901185983 909463.315526564
1380 -5339.90295771596 919693.041008087 914353.138050371
1390 -6013.62641925237 920342.197428782 914328.571009529
1400 -5666.22997678191 919398.879149421 913732.64917264
1410 -5703.48244697602 922204.314302343 916500.831855367
1420 -5401.42680563357 917315.828106795 911914.401301161
1430 -5357.52525856782 918805.010532362 913447.485273795
1440 -5189.48319061459 917654.944432746 912465.461242131
1450 -4765.78466390181 915877.729891761 911111.945227859
1460 -5980.98480045624 915493.569612681 909512.584812225
1470 -5984.42378029861 916706.926515234 910722.502734935
1480 -4505.17482849612 913671.857103836 909166.68227534
1490 -5145.5640431933 915719.929989221 910574.365946028
1500 -6619.0003525979 912853.375540569 906234.375187972
1510 -5961.53311166889 910833.104403953 904871.571292284
1520 -6187.23333036865 910911.227896955 904723.994566587
1530 -6121.25827908938 911453.030114537 905331.771835447
1540 -5962.05500380461 912963.416423855 907001.36142005
1550 -4733.14539628006 915832.911384898 911099.765988618
1560 -6479.22999454784 917200.244917811 910721.014923263
1570 -6416.57243707869 915477.316073174 909060.743636095
1580 -6245.461419316 914579.804017182 908334.342597866
1590 -5934.26191052906 914540.800216099 908606.538305569
1600 -5611.70710867515 917896.66945103 912284.962342355
1610 -5723.37049540225 920260.466558903 914537.096063501
1620 -6155.5178408557 920489.178835307 914333.660994451
1630 -5853.52504332088 921059.612130587 915206.087087266
1640 -5365.90239776264 922777.27372998 917411.371332217
1650 -5383.23383728483 924131.170748479 918747.936911194
1660 -6730.51697976321 923462.248065574 916731.731085811
1670 -6621.84994397155 921952.238009721 915330.388065749
1680 -4782.99742140119 921135.725436904 916352.728015503
1690 -4985.86183435291 918823.459166632 913837.597332279
1700 -5408.40483854922 921239.4122501 915831.007411551
1710 -5186.61816255194 919207.734904147 914021.116741595
1720 -5868.77482302265 917807.569634484 911938.794811462
1730 -5302.38586390553 916671.693779112 911369.307915206
1740 -6548.36653438334 913904.173131635 907355.806597251
1750 -6031.88248877248 912545.390023731 906513.507534958
1760 -5165.37471795231 909915.293927434 904749.919209481
1770 -7019.39747265077 911714.311038133 904694.913565482
1780 -6235.00883705759 915160.326596636 908925.317759578
1790 -5055.91411730542 913502.308994336 908446.394877031
1800 -6079.22702221448 916821.476401439 910742.249379225
1810 -6937.41700178144 916982.48748985 910045.070488068
1820 -5593.80608684008 915061.727387953 909467.921301113
1830 -5757.97894652446 917984.707277142 912226.728330617
1840 -6662.42403156324 918191.770532824 911529.346501261
1850 -6725.60233225948 918730.26452702 912004.662194761
1860 -5528.31468035343 918833.739943757 913305.425263403
1870 -6505.11042156624 925066.617107641 918561.506686075
1880 -4495.78896742797 923638.474112488 919142.68514506
1890 -6171.47197222197 920540.656311712 914369.18433949
1900 -5412.14515111226 920532.740299188 915120.595148076
1910 -5473.61925681534 921383.01930187 915909.400045055
1920 -4891.80215513278 917744.100566081 912852.298410949
1930 -5742.57599409832 917447.8507574 911705.274763302
1940 -5436.49999508891 919213.101393431 913776.601398342
1950 -6072.37905410037 919797.751885585 913725.372831484
1960 -5440.08823240906 915507.021593448 910066.933361039
1970 -5652.87980188297 918230.465582842 912577.585780959
1980 -4962.46795610607 917353.617470599 912391.149514493
1990 -6362.06738774851 922644.946596141 916282.879208393
2000 -6358.52730882454 925624.51157164 919265.984262816
2010 -6533.54230245441 924666.017270154 918132.474967699
2020 -6771.93451026493 924071.933645351 917299.999135086
2030 -5134.20190412474 921828.790856903 916694.588952779
2040 -6451.95425728034 921674.710275634 915222.756018354
2050 -4955.1715121807 920817.146566471 915861.97505429
2060 -5191.59759473826 921799.54239595 916607.944801211
2070 -5881.92873197505 917491.778076827 911609.849344852
2080 -5313.72010765797 917212.662989564 911898.942881906
2090 -4962.93107249573 915226.36528047 910263.434207975
2100 -5631.49613723527 915510.7142438 909879.218106565
2110 -4787.20957093816 919134.364473946 914347.154903008
2120 -5704.30069667925 920083.982963567 914379.682266887
2130 -4909.68378061782 918781.540770294 913871.856989676
2140 -8524.92606478484 922368.516909325 913843.59084454
2150 -7746.6842677191 920226.690704626 912480.006436907
2160 -6618.22995621162 919220.817718166 912602.587761955
2170 -13408.9575015207 926239.823038398 912830.865536877
2180 -10185.3994245573 933285.04065618 923099.641231623
2190 -4765.44370352906 933219.058904556 928453.615201027
2200 -5603.64354973263 933046.617989647 927442.974439914
2210 -5671.77832862297 933347.692611713 927675.91428309
2220 -5961.77369446384 934102.66770047 928140.894006006
2230 -4940.92266927987 931360.638160557 926419.715491277
2240 -6973.11417063388 930264.735993557 923291.621822924
2250 -6973.66106422051 930586.280834595 923612.619770374
2260 -7758.69276764233 934382.398625403 926623.705857761
2270 -5335.00021139239 932863.613121088 927528.612909695
2280 -5526.78074984797 933753.699634446 928226.918884598
2290 -6797.63943377132 934397.433471573 927599.794037801
2300 -7391.81400614934 934237.596885558 926845.782879408
2310 -5492.13183278279 931187.125522729 925694.993689946
2320 -5331.26774255037 927978.585270413 922647.317527863
2330 -4987.62861005992 928336.506707803 923348.878097743
2340 -5625.096690511 930345.745620833 924720.648930322
2350 -4742.94945993525 931327.660097176 926584.71063724
2360 -5072.64495762522 930278.4643759 925205.819418275
2370 -4799.4596838089 932735.673632212 927936.213948404
2380 -6320.08833831762 933339.457094232 927019.368755914
2390 -5371.25396678481 932925.093269666 927553.839302881
2400 -5770.52073447275 932909.394269308 927138.873534835
2410 -5205.35402494904 936300.980359036 931095.626334087
2420 -5959.69595652895 936401.609623831 930441.913667302
2430 -5131.81346285959 936700.574234741 931568.760771881
2440 -4885.90637815562 937257.004276371 932371.097898216
2450 -5192.55177817932 935821.671803203 930629.120025024
2460 -5455.605748459 936821.586009651 931365.980261192
2470 -6076.72345305197 935641.137234349 929564.413781297
2480 -4896.03787861588 936337.332017707 931441.294139091
2490 -4923.5610379966 936299.941906964 931376.380868967
2500 -5576.32536976022 940063.772325014 934487.446955254
2510 -5151.68603741021 939381.530644435 934229.844607025
2520 -5481.158133809 944682.549997021 939201.391863212
2530 -5714.15437040105 944236.204486738 938522.050116337
2540 -5216.71970038077 947135.829514405 941919.109814024
