LAMMPS data file via write_data, version 22 Jul 2025, timestep = 10000, units = metal

128 atoms
1 atom types

0 12.742537224023346 xlo xhi
0 12.742537224023346 ylo yhi
0 12.742537224023346 zlo zhi

Masses

1 183.84

Atoms # atomic

2 1 1.4766040185260267 1.4834519283732202 1.9467919384055237 0 0 0
43 1 3.2732405018206414 3.1306973320805396 3.207457377201467 0 0 0
35 1 3.265065633601132 12.718462135742284 3.146681487379217 0 -1 0
4 1 4.985283272187838 1.504096514222846 1.507839296949917 0 0 0
6 1 7.907665812073002 1.4902581652739206 1.2523535873374183 0 0 0
45 1 6.217484361169019 3.302999378779758 3.4711530051682447 0 0 0
13 1 6.455421026585621 3.321449403843027 0.13730255621917425 0 0 0
37 1 6.71666435447181 12.626507066401304 3.316227508717669 0 -1 0
5 1 6.173039520430779 12.399297468942276 12.697800868371322 0 -1 -1
41 1 12.730294630665972 3.045953282729932 3.18639265444164 -1 0 0
8 1 11.172634594660968 1.7266070412032692 1.2601165604749451 0 0 0
47 1 9.399044621426118 3.0942767121926344 2.9111978686192743 0 0 0
33 1 0.052632651766341354 0.24343121255940225 3.523829849962488 0 0 0
9 1 12.653574002917862 3.4599132829539867 12.469137602944443 -1 0 -1
10 1 1.2933378814915901 4.709608588066689 1.5091112136132 0 0 0
18 1 1.4444204705527084 7.937652623440568 1.7678382391195016 0 0 0
51 1 2.9457527229511036 6.220867065344047 3.1263213899033544 0 0 0
12 1 4.784773715851404 4.5651952198976415 1.7634800825453565 0 0 0
14 1 7.984265069834967 4.719954210859783 1.6035457506103026 0 0 0
20 1 4.635003827687146 7.90684680426376 1.5148415734419662 0 0 0
22 1 7.824224034202218 8.373789578107173 1.7806519879453577 0 0 0
53 1 5.964343056007849 6.370114656092147 3.09258624561927 0 0 0
21 1 6.503617836634664 6.565289897541377 12.601750585446608 0 0 -1
49 1 12.484092930139852 6.135967158609726 3.3465846932417267 -1 0 0
16 1 11.096356153519832 5.020720289230939 1.3867376557942712 0 0 0
24 1 11.16660070286792 7.999328608909896 1.4103197261441796 0 0 0
55 1 9.39368565745673 6.678256785889448 3.075538398699417 0 0 0
26 1 1.964137453503061 11.303490683300565 1.5827325538017467 0 0 0
59 1 3.078373824963358 9.648303306305001 3.4483446087042773 0 0 0
57 1 0.16750668160044668 9.707417710091182 3.270998897291676 0 0 0
3 1 2.982764961575976 12.64869783760963 12.544790100278458 0 -1 -1
27 1 3.0507808061557666 9.942018990083588 0.13589104362558224 0 0 0
28 1 4.92915892185127 11.180830543353457 1.693932076405125 0 0 0
30 1 8.110990533506186 11.077763880937116 1.6455448404596442 0 0 0
61 1 6.081333764216041 9.614697086929393 3.2009096043963607 0 0 0
39 1 9.342345541461611 0.14805760264460233 3.1984708860527955 0 0 0
25 1 0.005307168982143915 9.850551068108802 0.0455647629905919 0 0 0
32 1 11.094733443096294 11.141834150006726 1.9702787154435133 0 0 0
63 1 9.536818553092768 9.441927016017939 3.3790514167976284 0 0 0
1 1 0.050102619948578564 12.460093580545996 0.26349851594677354 0 -1 0
34 1 1.6571473718973595 1.867322924033177 5.231015590006175 0 0 0
66 1 1.6366843251800032 1.5528944908654112 7.858731835434663 0 0 0
75 1 3.1557972014893174 3.2427228197695173 6.696088558304072 0 0 0
67 1 3.136894920254396 12.50569203602777 6.618749701382494 0 -1 0
73 1 12.623885933410138 3.457180142733951 6.394470230356743 -1 0 0
36 1 4.555821859550802 1.2800753979301156 4.722460040211385 0 0 0
38 1 7.921551243312036 1.6638759930805236 4.938328381494466 0 0 0
68 1 4.767512909912799 1.7879327016639324 8.0688696463575 0 0 0
70 1 8.253148082624218 1.5694950353161012 8.06355067381954 0 0 0
77 1 6.348616323444606 3.09776382841563 6.323282455024497 0 0 0
40 1 11.016460573847388 1.619978934054178 4.644019980473094 0 0 0
72 1 11.020320972434668 1.5708989743862891 7.7762254799793515 0 0 0
79 1 9.404055080273578 3.3570561088841817 6.29858018267737 0 0 0
65 1 12.565659913530705 0.06703246602674717 6.264621924322619 -1 0 0
42 1 1.6094240593223215 4.671217053842199 4.827254120440566 0 0 0
50 1 1.6945988623502477 7.844332913339579 4.973382573953281 0 0 0
74 1 1.4140386182236149 4.678833930456338 7.975033050551108 0 0 0
82 1 2.0272484430100723 7.808529633222902 8.231047997690867 0 0 0
83 1 3.2117523244624366 6.031406288389812 6.2758153562399075 0 0 0
81 1 0.1399111721743651 6.349527471426928 6.371107866552604 0 0 0
44 1 4.689934982599225 4.916911042764909 4.6899867886821776 0 0 0
46 1 8.043980335418798 4.997928956289717 4.676950411822863 0 0 0
52 1 4.4528553685124885 8.019000386808203 4.811791981774658 0 0 0
54 1 7.685776703298707 7.905153848511335 4.683042979002774 0 0 0
76 1 4.952208659718024 4.617174554155094 8.23425368212509 0 0 0
78 1 8.087407951704131 4.829998191750709 8.086667782346039 0 0 0
84 1 4.948369504481258 7.712207977391455 7.923741451531368 0 0 0
85 1 6.104059543707438 6.373290517865137 5.937838731410171 0 0 0
86 1 8.215251443314132 7.797086397861656 7.584858740855149 0 0 0
48 1 10.983626643755969 4.885718647308141 4.6726283948138825 0 0 0
56 1 11.349448919534993 8.058929687039415 4.593595161332526 0 0 0
80 1 10.856461997439846 4.848480531480039 7.9219170449966265 0 0 0
