# Step PotentialEnergy(eV) KineticEnergy(eV) TotalEnergy(eV)
0 108.38154757282 62.380945977 170.76249354982
10 110.120308905291 60.6423628317542 170.762671737045
20 114.297837226557 56.465296877232 170.763134103789
30 120.113161945596 50.650705448621 170.763867394217
40 126.340759051521 44.4239606499833 170.764719701505
50 131.599846323075 39.1655236141693 170.765369937244
60 134.841429022429 35.9241045922186 170.765533614648
70 135.769370121369 34.9958115295314 170.765181650901
80 134.895248833819 35.8692815016525 170.764530335471
90 133.221657216337 37.5422362158829 170.76389343222
100 131.75919446201 39.004346348837 170.763540810847
110 131.104961702768 39.6586126177864 170.763574320554
120 131.279679169085 39.4841882956465 170.763867464731
130 131.900873457278 38.8633152384125 170.764188695691
140 132.516146742828 38.2482458443241 170.764392587152
150 132.834097445654 37.9303445915434 170.764442037197
160 132.795954516693 37.9684038185331 170.764358335226
170 132.544502010402 38.2197099411953 170.764211951597
180 132.317044942974 38.4470424574164 170.76408740039
190 132.316184011657 38.4478546783736 170.76403869003
200 132.622691784331 38.1413954962092 170.764087280541
210 133.161184025173 37.6030542057169 170.76423823089
220 133.702481101297 37.0619808334839 170.764461934781
230 133.925723657935 36.8389253526763 170.764649010612
240 133.58583103978 37.1788194095046 170.764650449284
250 132.715936258823 38.0484996619202 170.764435920743
260 131.660268538299 39.1038759634416 170.76414450174
270 130.876841751089 39.8870974876735 170.763939238762
280 130.695003358413 40.0688974493658 170.763900807779
290 131.184025484365 39.5799930968632 170.764018581228
300 132.163798793862 38.6003962706744 170.764195064537
310 133.343295751901 37.4210243799336 170.764320131835
320 134.478878281429 36.2855021061651 170.764380387595
330 135.408342490668 35.3561055154108 170.764448006079
340 135.9721201328 34.7924386766779 170.764558809477
350 135.980076393938 34.7845563549315 170.76463274887
360 135.328996372433 35.4355404990248 170.764536871458
370 134.181918198918 36.582329103962 170.76424730288
380 132.990957929807 37.772960679566 170.763918609373
390 132.269555739986 38.4942100494662 170.763765789452
400 132.272278884718 38.4916233340235 170.763902218741
410 132.820414595024 37.9438375636619 170.764252158686
420 133.411605776302 37.3529668073812 170.764572583683
430 133.573053026744 37.1915739271498 170.764626953894
440 133.202796797173 37.5615936134157 170.764390410589
450 132.61066561418 38.1534059748706 170.764071589051
460 132.229140975241 38.5347838632514 170.763924838492
470 132.260988603255 38.5030352431524 170.764023846408
480 132.57470839922 38.1895232151738 170.764231614393
490 132.886696777168 37.8776889494997 170.764385726668
500 132.987308988422 37.7771230347802 170.764432023202
510 132.827087682525 37.9372978866803 170.764385569205
520 132.495208784451 38.2690871600278 170.764295944479
530 132.139546804942 38.6247019107747 170.764248715716
540 131.844939123656 38.9193570713833 170.76429619504
550 131.559524576625 39.2048835560067 170.764408132631
560 131.135398300646 39.6291039526345 170.76450225328
570 130.450443423436 40.3140398901485 170.764483313585
580 129.548064396916 41.2162391097964 170.764303506713
590 128.700082059631 42.0639548235765 170.764036883207
600 128.295990214047 42.4678602440196 170.763850458067
610 128.603096791316 42.1607736482715 170.763870439588
620 129.584495805155 41.179579743272 170.764075548427
630 130.927036902817 39.837285938233 170.76432284105
640 132.239607546011 38.5249025173163 170.764510063327
650 133.204331962637 37.5603255404744 170.764657503111
660 133.576723847347 37.1880423015547 170.764766148902
670 133.206936371126 37.5577869050865 170.764723276213
680 132.191658034632 38.5727941850531 170.764452219685
690 130.963361971021 39.800698320905 170.764060291926
700 130.127946980237 40.6358053092949 170.763752289532
710 130.164023738127 40.5996313215952 170.763655059722
720 131.221828702206 39.5419525291215 170.763781231328
730 133.086929017445 37.6771759529412 170.764104970386
740 135.225621014223 35.5389423450792 170.764563359302
750 136.911154511851 33.8538166370178 170.764971148869
760 137.518252944304 33.2468256800033 170.765078624307
770 136.882517650535 33.8822886492798 170.764806299815
780 135.408998524603 35.3553434471206 170.764341971724
790 133.800770061762 36.963204028553 170.763974090315
800 132.635247024412 38.1286272685775 170.76387429299
810 132.102333581514 38.6616729352671 170.764006516781
820 132.04245698435 38.721742659838 170.764199644188
830 132.182937033611 38.5813835623058 170.764320595917
840 132.332990901306 38.4313806529314 170.764371554238
850 132.401680757454 38.3627244507307 170.764405208184
860 132.339520544857 38.4248954136443 170.764415958501
870 132.141707088362 38.622666039163 170.764373127525
880 131.877901728206 38.8863948602363 170.764296588442
890 131.655751678541 39.1084896742536 170.764241352795
900 131.540477500373 39.2237612606372 170.76423876101
910 131.514731881992 39.2495435926568 170.764275474649
920 131.507157290481 39.2571549610569 170.764312251538
930 131.455353984615 39.3089590984154 170.76431308303
940 131.355686731025 39.4085886234345 170.76427535446
950 131.263240339896 39.500984383899 170.764224723795
960 131.254905771424 39.5092647884186 170.764170559842
970 131.408590565104 39.3555292757625 170.764119840867
980 131.781980850499 38.9821439701319 170.764124820631
990 132.341942636375 38.4222871405395 170.764229776915
1000 132.915005612409 37.8493792503928 170.764384862802
1010 133.263466111167 37.5010169444615 170.764483055629
1020 133.237704780221 37.5267597465325 170.764464526754
1030 132.868689686618 37.8956463718876 170.764336058505
1040 132.360983160266 38.4031663980547 170.76414955832
1050 132.004380979917 38.7596370938073 170.764018073725
1060 132.000681724217 38.7633817625278 170.764063486745
1070 132.293383855024 38.4708970855467 170.76428094057
1080 132.581361320479 38.1831373446732 170.764498665152
1090 132.56203010895 38.2024945879071 170.764524696857
1100 132.198782350739 38.5655494291501 170.764331779889
1110 131.760196525402 39.0038716464052 170.764068171807
1120 131.611119006442 39.1527995442339 170.763918550676
1130 131.942896845724 38.8211004814181 170.763997327142
1140 132.605886773742 38.1584166371711 170.764303410913
1150 133.12517759461 37.639500257086 170.764677851696
1160 132.948305661184 37.8165434667115 170.764849127895
1170 131.836547043954 38.9280986848961 170.76464572885
1180 130.099108444477 40.6650763155599 170.764184760037
1190 128.421028831943 42.3427513373584 170.763780169302
1200 127.413212501102 43.3504498323705 170.763662333473
1210 127.271133664479 43.4926805443374 170.763814208816
1220 127.782208339472 42.9818329058779 170.76404124535
1230 128.595988345676 42.1681815657279 170.764169911404
1240 129.479577814404 41.2846185107034 170.764196325108
1250 130.345343585988 40.4189046949945 170.764248280982
1260 131.097584489297 39.6668037774766 170.764388266773
1270 131.556231972315 39.208274460802 170.764506433117
1280 131.592832607275 39.1716454612345 170.76447806851
