# T[K]  F_harmonic  F_Hessian  F_Kinetic   [eV/atom, total]
3.000000000000000000e+02 -4.270250335827446619e+00 -4.276087488300755801e+00 -4.513674412605602981e+00
5.000000000000000000e+02 -4.349145578686850477e+00 -4.354966722469693963e+00 -4.688878283113498746e+00
7.000000000000000000e+02 -4.449312591121653782e+00 -4.455711929527630843e+00 -4.864082163075079457e+00
9.000000000000000000e+02 -4.564460027526306973e+00 -4.574973563545286837e+00 -5.039286046158999888e+00
1.100000000000000000e+03 -4.691193726645782824e+00 -4.705410629385009535e+00 -5.214489928244477213e+00
1.300000000000000000e+03 -4.827380644872635074e+00 -4.844917024814019868e+00 -5.389693812201597822e+00
1.500000000000000000e+03 -4.971553704016660191e+00 -4.992318479277244592e+00 -5.564897696547462580e+00
1.700000000000000000e+03 -5.122641202694180329e+00 -5.147243366750585025e+00 -5.740101580893326449e+00
1.900000000000000000e+03 -5.279825635005149564e+00 -5.310837512060632370e+00 -5.915305465490297010e+00
2.100000000000000000e+03 -5.442462689233210860e+00 -5.479015697079237412e+00 -6.090509350324057714e+00
2.300000000000000000e+03 -5.610031405012855465e+00 -5.649690841051107526e+00 -6.265713238118300055e+00
2.500000000000000000e+03 -5.782101803998958012e+00 -5.822642100103749385e+00 -6.440917126296374917e+00
